Customer ID,Recency,Frequency,MonetaryValue,Cluster
12346.0,198,12,77556.46,1
12347.0,2,6,3402.39,1
12348.0,121,4,1709.3999999999999,0
12349.0,280,3,2671.14,0
12350.0,182,1,334.40000000000003,2
12351.0,248,1,300.93,2
12352.0,134,7,1905.6100000000001,0
12353.0,76,2,406.76,2
12354.0,105,1,1079.4,2
12355.0,87,2,947.61,0
12356.0,118,5,6313.38,0
12357.0,261,2,12079.99,0
12358.0,23,4,3203.8700000000003,3
12359.0,62,9,6059.09,1
12360.0,73,6,2674.41,0
12361.0,160,4,511.25,0
12362.0,28,4,1408.1000000000001,3
12363.0,115,1,299.1,2
12365.0,164,2,641.38,2
12366.0,506,1,500.24,2
12368.0,500,1,917.7,2
12369.0,286,3,1791.15,0
12370.0,147,6,3577.28,0
12371.0,282,3,2179.42,0
12372.0,85,2,914.9200000000001,0
12373.0,184,3,1127.65,0
12374.0,294,3,2246.29,0
12376.0,262,2,503.15,2
12377.0,188,4,3426.32,0
12378.0,2,2,5416.32,3
12379.0,42,3,1227.82,3
12380.0,58,8,7559.04,1
12383.0,57,5,1850.56,0
12385.0,252,1,1938.4,0
12386.0,210,2,401.9,2
12387.0,287,1,143.94,2
12388.0,21,6,2788.79,1
12389.0,275,3,1433.33,0
12391.0,337,5,2285.18,0
12392.0,464,1,234.75000000000003,2
12393.0,118,5,1877.95,0
12394.0,90,1,381.08,2
12395.0,34,10,3436.16,1
12396.0,547,1,931.4300000000001,2
12397.0,8,1,1214.81,3
12399.0,56,6,1752.68,0
12400.0,287,1,205.25,2
12401.0,176,1,84.3,2
12402.0,196,6,1256.9,0
12403.0,394,1,591.6600000000001,2
12404.0,554,1,63.24,2
12405.0,21,1,1710.39,3
12406.0,56,4,4596.31,0
12407.0,6,4,1407.36,3
12408.0,48,6,2943.9900000000002,0
12409.0,55,5,18553.7,1
12410.0,181,3,1013.71,0
12411.0,282,1,346.9,2
12412.0,10,5,2260.79,3
12413.0,109,3,805.25,0
12414.0,90,6,952.4100000000001,0
12415.0,16,19,96809.56,1
12416.0,529,1,202.56,2
12417.0,59,16,5046.58,1
12418.0,286,3,1352.62,0
12419.0,258,2,503.01,2
12421.0,46,4,688.36,3
12422.0,41,16,5084.1,1
12423.0,64,8,2214.77,0
12424.0,35,4,3340.0299999999997,3
12425.0,321,1,964.21,2
12426.0,67,2,1345.21,0
12427.0,244,1,303.5,2
12428.0,30,7,6942.9800000000005,1
12429.0,45,7,5298.89,1
12431.0,9,22,8210.58,1
12432.0,43,3,4016.66,0
12433.0,238,5,7205.39,0
12434.0,133,2,583.54,2
12435.0,140,5,10075.03,0
12437.0,50,30,10208.72,1
12438.0,13,1,890.0699999999999,3
12439.0,555,2,1142.88,2
12440.0,335,2,859.2,2
12441.0,239,1,173.55,2
12443.0,605,1,485.31,2
12444.0,44,1,1870.2,3
12445.0,293,1,301.58000000000004,2
12447.0,116,1,476.49,2
12449.0,2,4,2405.48,3
12450.0,29,5,688.2,3
12451.0,90,5,8942.18,0
12453.0,7,1,707.09,3
12454.0,268,4,13151.44,0
12455.0,29,8,5510.89,1
12456.0,4,2,2265.4,3
12457.0,106,4,1699.93,0
12458.0,157,3,1272.01,0
12459.0,478,1,454.36,2
12460.0,329,1,326.65,2
12461.0,27,1,626.88,3
12462.0,176,1,762.11,2
12463.0,48,3,985.7900000000001,3
12464.0,22,5,590.45,3
12465.0,42,1,440.94,3
12466.0,554,1,56.73,2
12467.0,296,1,132.8,2
12468.0,60,5,3670.7400000000002,0
12469.0,395,2,3070.54,0
12470.0,562,1,211.95,2
12471.0,28,65,29469.72,1
12472.0,11,17,14604.78,1
12473.0,64,1,661.69,3
12474.0,10,25,8945.04,1
12475.0,282,1,426.26,2
12476.0,13,18,10459.16,1
12477.0,112,5,11633.6,0
12480.0,16,6,4328.17,1
12481.0,52,13,10690.95,1
12482.0,448,29,23691.4,1
12483.0,56,16,3926.81,1
12484.0,49,8,4103.4400000000005,1
12485.0,402,1,708.1,2
12486.0,304,1,1037.28,2
12487.0,603,1,285.3,2
12489.0,209,1,334.93,2
12490.0,11,15,6498.42,1
12492.0,276,1,452.0,2
12493.0,38,2,433.74,3
12494.0,34,7,1438.03,3
12495.0,513,1,357.4,2
12496.0,493,2,45.34,2
12497.0,273,2,5205.400000000001,0
12499.0,433,1,393.72,2
12500.0,41,13,3093.23,1
12501.0,209,1,2169.39,0
12502.0,90,3,1842.65,0
12503.0,457,1,1126.0,2
12504.0,290,2,297.0,2
12505.0,281,1,955.2,2
12506.0,105,1,73.5,2
12507.0,6,4,1844.06,3
12509.0,157,1,176.5,2
12510.0,15,9,5178.02,1
12511.0,301,1,3084.02,0
12514.0,139,2,1597.76,0
12515.0,226,1,383.7,2
12516.0,53,3,1919.76,0
12517.0,63,1,749.7,3
12519.0,349,1,385.70000000000005,2
12520.0,15,4,2045.85,3
12521.0,15,1,599.68,3
12523.0,8,17,3267.52,1
12524.0,35,15,9762.87,1
12525.0,370,3,973.73,0
12527.0,167,4,671.72,0
12528.0,22,3,1053.37,3
12529.0,401,1,316.48,2
12530.0,106,7,2901.98,0
12531.0,559,1,1807.98,2
12533.0,500,2,1367.89,0
12534.0,3,1,1089.18,3
12535.0,59,1,371.45,2
12537.0,281,1,732.94,2
12538.0,251,1,276.5,2
12539.0,134,6,10164.09,0
12540.0,10,25,17131.78,1
12541.0,45,2,536.14,3
12542.0,356,2,481.88,2
12543.0,320,1,980.25,2
12545.0,132,1,628.15,2
12547.0,70,3,383.58,3
12548.0,39,1,95.19999999999999,2
12549.0,448,6,1575.68,0
12551.0,230,1,168.0,2
12553.0,27,8,2935.84,1
12554.0,321,1,468.5,2
12555.0,554,1,129.23,2
12556.0,24,1,308.75,3
12557.0,31,7,15106.14,1
12559.0,183,2,561.71,2
12560.0,15,1,1292.31,3
12561.0,175,1,238.85,2
12562.0,49,4,2140.41,0
12563.0,281,1,249.24,2
12564.0,134,1,456.90000000000003,2
12565.0,161,1,145.92000000000002,2
12567.0,52,12,8473.3,1
12568.0,517,1,70.0,2
12569.0,16,9,1567.99,1
12570.0,554,1,77.52,2
12573.0,99,5,717.41,0
12574.0,188,1,218.45000000000002,2
12575.0,330,2,622.82,2
12576.0,22,6,1487.74,3
12577.0,231,6,1186.3899999999999,0
12578.0,203,3,3456.6,0
12580.0,119,2,1052.9,0
12582.0,111,4,1980.4,0
12583.0,27,20,10299.31,1
12584.0,9,3,769.84,3
12585.0,107,2,2040.1,0
12586.0,247,3,1865.73,0
12588.0,272,3,743.88,0
12589.0,17,7,4180.48,1
12590.0,84,2,9864.26,0
12591.0,190,3,1338.95,0
12592.0,86,4,2376.86,0
12593.0,2,2,321.8,3
12594.0,56,12,3559.84,1
12595.0,377,1,299.02,2
12596.0,115,1,269.95,2
12597.0,55,2,1428.81,3
12598.0,34,7,3095.39,1
12599.0,24,11,1940.88,1
12600.0,18,18,4029.57,1
12601.0,62,6,681.26,0
12604.0,134,1,178.5,2
12605.0,249,4,1232.95,0
12606.0,554,1,21.0,2
12608.0,277,1,415.79,2
12609.0,59,8,3109.7400000000002,0
12613.0,70,9,4935.51,1
12614.0,150,1,315.6,2
12615.0,41,5,4084.53,0
12616.0,170,2,673.4,2
12619.0,21,5,1849.48,3
12620.0,77,1,561.66,2
12621.0,20,28,19221.76,1
12622.0,104,1,180.1,2
12623.0,149,7,3747.84,0
12624.0,50,1,299.94,3
12625.0,84,4,5164.88,0
12626.0,14,4,3247.9,3
12627.0,2,2,1206.18,3
12629.0,258,2,1558.22,0
12631.0,329,5,2841.07,0
12632.0,393,2,804.88,2
12633.0,2,6,5462.93,1
12634.0,408,2,490.0,2
12635.0,27,3,1924.8700000000001,3
12636.0,611,1,141.0,2
12637.0,30,9,5330.41,1
12638.0,512,1,249.8,2
12639.0,111,3,1312.3700000000001,0
12643.0,1,12,8304.82,1
12644.0,2,4,1918.49,3
12645.0,92,6,2563.02,0
12647.0,28,32,15811.64,1
12648.0,27,4,1112.0,3
12649.0,85,6,2046.14,0
12651.0,207,4,377.75,0
12652.0,204,2,1017.0300000000001,0
12653.0,21,3,4160.83,3
